k_max,alfa,lamda,f,obj1_cdor_dist_to_0.1,obj2_wdor,obj3_caer_dist_to_0.1,obj4_waer,obj5_time
7,0.33318678092698495,0.9630999596902164,0.6275364646187879,1.0,1.0,1.0,1.0,1000.0
5,0.3092264566010291,0.6160963606538774,0.7507807618411572,1.0,1.0,1.0,1.0,1000.0
2,0.8045341639809603,0.9359925990742302,1.0813410072119911,1.0,1.0,1.0,1.0,1000.0
2,0.18242630866456622,0.8872867372131706,0.9448541887258536,1.0,1.0,1.0,1.0,1000.0
7,0.21566350442560903,0.15434633851517643,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
8,0.5382295583436074,0.6160963606538774,0.6447650228936911,1.0,1.0,1.0,1.0,1000.0
9,0.4240960893465554,0.2731232151701415,0.8442010055367947,1.0,1.0,1.0,1.0,1000.0
6,0.32642496783546915,0.38793823448340264,0.5357344417363704,1.0,1.0,1.0,1.0,1000.0
10,0.9544559257839192,0.5566210239102912,0.9448541887258536,1.0,1.0,1.0,1.0,1000.0
8,0.6955170400035815,0.5092199080417344,1.4031766538397383,1.0,1.0,1.0,1.0,1000.0
7,0.503039675277236,0.8872867372131706,0.9457689610211897,1.0,1.0,1.0,1.0,1000.0
3,0.8058518665906785,0.5566210239102912,1.3384014301154696,1.0,1.0,1.0,1.0,1000.0
7,0.76096152270458,0.5591500241994967,0.5238580791407822,1.0,1.0,1.0,1.0,1000.0
4,0.6109345633782198,0.5566210239102912,1.2237729538720183,1.0,1.0,1.0,1.0,1000.0
7,0.9169750991613672,0.5591500241994967,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
5,0.2562298783885512,0.5591500241994967,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
2,0.8045341639809603,0.4438914690856269,1.4835210735533186,1.0,1.0,1.0,1.0,1000.0
8,0.2331746504829319,0.5591500241994967,1.0303557161234451,1.0,1.0,1.0,1.0,1000.0
5,0.6617476456793041,0.8201867100709567,1.3744432699660298,1.0,1.0,1.0,1.0,1000.0
5,0.3774470636036217,0.15434633851517643,0.6120702635945241,1.0,1.0,1.0,1.0,1000.0
4,0.6273105223105907,0.836067928509235,1.303669443152935,1.0,1.0,1.0,1.0,1000.0
2,0.18242630866456622,0.18979577807949188,0.9448541887258536,1.0,1.0,1.0,1.0,1000.0
7,0.21566350442560903,0.5591500241994967,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
7,0.76096152270458,0.38793823448340264,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
7,0.6955170400035815,0.5092199080417344,1.4031766538397383,1.0,1.0,1.0,1.0,1000.0
8,0.2331746504829319,0.5591500241994967,1.0303557161234451,1.0,1.0,1.0,1.0,1000.0
7,0.76096152270458,0.5591500241994967,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
8,0.7436358084137081,0.38793823448340264,1.0303557161234451,1.0,1.0,1.0,1.0,1000.0
2,0.4357875520744998,0.2150084207357387,1.4835210735533186,1.0,1.0,1.0,1.0,1000.0
5,0.2362780978808964,0.6276046993002327,0.5238580791407822,1.0,1.0,1.0,1.0,1000.0
5,0.5382295583436074,0.39516473136429864,1.3744432699660298,1.0,1.0,1.0,1.0,1000.0
5,0.6059698333291186,0.5002277096077271,1.3384014301154696,1.0,1.0,1.0,1.0,1000.0
10,0.7070317276112831,0.5566210239102912,1.3384014301154696,1.0,1.0,1.0,1.0,1000.0
2,0.18242630866456622,0.4249517265852465,1.3979678728950105,1.0,1.0,1.0,1.0,1000.0
7,0.18242630866456622,0.8730701376923237,0.9457689610211897,1.0,1.0,1.0,1.0,1000.0
4,0.5707822697039386,0.9159342849078048,1.0894582423803283,1.0,1.0,1.0,1.0,1000.0
10,0.6273105223105907,0.836067928509235,0.9448541887258536,1.0,1.0,1.0,1.0,1000.0
5,0.2833797562366667,0.6276046993002327,0.8442010055367947,1.0,1.0,1.0,1.0,1000.0
4,0.6109345633782198,0.9282973952727359,1.2237729538720183,1.0,1.0,1.0,1.0,1000.0
2,0.6617476456793041,0.9359925990742302,1.0813410072119911,1.0,1.0,1.0,1.0,1000.0
10,0.7070317276112831,0.18979577807949188,0.9448541887258536,1.0,1.0,1.0,1.0,1000.0
7,0.33318678092698495,0.8872867372131706,0.6275364646187879,1.0,1.0,1.0,1.0,1000.0
10,0.7893729429292703,0.13264209481907263,1.1158082156475237,1.0,1.0,1.0,1.0,1000.0
2,0.8308543637862884,0.1539916967571298,1.435965293326365,1.0,1.0,1.0,1.0,1000.0
8,0.7436358084137081,0.5002277096077271,1.0303557161234451,1.0,1.0,1.0,1.0,1000.0
5,0.3774470636036217,0.15434633851517643,1.3979678728950105,1.0,1.0,1.0,1.0,1000.0
4,0.45098573665364905,0.4903604819106986,0.9820562247461908,1.0,1.0,1.0,1.0,1000.0
5,0.2331746504829319,0.5591500241994967,0.8596914037964013,1.0,1.0,1.0,1.0,1000.0
3,0.8058518665906785,0.48124987261452157,0.5084218226943434,1.0,1.0,1.0,1.0,1000.0
8,0.5382295583436074,0.39516473136429864,1.3744432699660298,1.0,1.0,1.0,1.0,1000.0
10,0.2874222040220179,0.18979577807949188,0.9448541887258536,1.0,1.0,1.0,1.0,1000.0
